

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
 1040   20.780   3527.60    24.2322    23.7707    24.1772     0.3981    -0.1353    -0.0143     1.6071           
 1041   20.800   3528.75    20.7306    20.2674    20.6742     0.4191    -0.1352    -0.0169     1.9497           
 1042   20.820   3529.82    18.1125    17.6479    18.0551     0.4428    -0.1374    -0.0195     2.3768           
 1043   20.840   3530.93    16.1942    15.7331    16.1407     0.4778    -0.1143    -0.0213     2.8618           
 1044   20.860   3531.97    14.5811    14.1394    14.5474     0.5037    -0.0606    -0.0204     3.3765           
 1045   20.880   3533.02    12.9063    12.4899    12.8983     0.5107     0.0092    -0.0182     3.8955           
 1046   20.900   3534.07    11.9449    11.5473    11.9560     0.4768     0.0163    -0.0158     3.9741           
 1047   20.920   3535.15    11.5130    11.1145    11.5237     0.4997     0.0310    -0.0165     4.3282           
 1048   20.940   3536.21    11.4844    11.0929    11.5024     0.4663     0.0512    -0.0150     4.0857           
 1049   20.960   3537.31    12.2634    11.8873    12.2972     0.4008     0.0982    -0.0109     3.3169           
 1050   20.980   3538.47    15.0045    14.6477    15.0580     0.3385     0.1131    -0.0056     2.4446           
 1051   21.000   3539.54    20.2876    19.8705    20.2811     0.2893    -0.0128    -0.0114     1.5528           
 1052   21.020   3540.63    26.9298    26.5097    26.9207     0.2453    -0.0271    -0.0088     0.9665           
 1053   21.040   3541.67    31.9241    31.4881    31.8995     0.2069    -0.0682    -0.0085     0.6585           
 1054   21.060   3542.71    33.7430    33.2967    33.7084     0.1853    -0.0905    -0.0088     0.5505           
 1055   21.080   3543.76    33.1645    32.7077    33.1199     0.1867    -0.1081    -0.0097     0.5608           
 1056   21.100   3544.88    31.5111    31.0545    31.4670     0.2183    -0.1017    -0.0102     0.6835           
 1057   21.120   3545.97    29.0535    28.5965    29.0094     0.2689    -0.1056    -0.0111     0.9055           
 1058   21.140   3547.10    26.3595    25.8991    26.3124     0.3444    -0.1178    -0.0125     1.2672           
 1059   21.160   3548.17    23.4915    23.0236    23.4373     0.4370    -0.1339    -0.0148     1.7934           
 1060   21.180   3549.23    20.0499    19.5762    19.9903     0.4549    -0.1451    -0.0181     2.1699           
 1061   21.200   3550.24    16.4732    15.9963    16.4108     0.4212    -0.1492    -0.0226     2.4830           
 1062   21.220   3551.26    13.5632    13.0877    13.5025     0.3761    -0.1288    -0.0273     2.7420           
 1063   21.240   3552.32    11.8517    11.4198    11.8350     0.3444     0.0489    -0.0221     2.7551           
 1064   21.260   3553.43    10.1969     9.8605    10.2761     0.3109     0.2663    -0.0024     3.0442           
 1065   21.280   3554.54    11.7171    11.5387    11.9547     0.2825     0.7223     0.0301     2.5339           
 1066   21.300   3555.63    16.0543    15.9704    16.3867     0.2390     0.6443     0.0370     1.5823           
 1067   21.320   3556.76    23.6044    23.3491    23.7658     0.1811     0.2496     0.0076     0.8264           
 1068   21.340   3557.88    30.2372    29.8475    30.2646     0.1599     0.0277    -0.0050     0.5537           
 1069   21.360   3558.93    34.2194    33.7980    34.2155     0.1710    -0.0094    -0.0066     0.5081           
 1070   21.380   3559.97    36.8992    36.4716    36.8895     0.1663    -0.0345    -0.0065     0.4653           
 1071   21.400   3561.04    38.2795    37.8392    38.2575     0.1813    -0.0584    -0.0070     0.4791           
 1072   21.420   3562.13    38.6618    38.2149    38.6335     0.1986    -0.0762    -0.0074     0.5150           
 1073   21.440   3563.21    38.6076    38.1509    38.5699     0.2140    -0.0938    -0.0080     0.5542           
 1074   21.460   3564.32    38.3561    37.8950    38.3144     0.2295    -0.1048    -0.0083     0.5975           
 1075   21.480   3565.50    37.8978    37.4314    37.8511     0.2481    -0.1090    -0.0087     0.6537           
 1076   21.500   3566.65    37.3645    36.8996    37.3197     0.2667    -0.1109    -0.0087     0.7091           
 1077   21.520   3567.71    36.1103    35.6372    36.0577     0.2780    -0.1280    -0.0096     0.7614           
 1078   21.540   3568.67    34.6302    34.1558    34.5767     0.2889    -0.1265    -0.0100     0.8312           
 1079   21.560   3569.76    32.7387    32.2640    32.6853     0.2915    -0.1273    -0.0106     0.8858           
 1080   21.580   3570.82    30.9150    30.4385    30.8602     0.2861    -0.1301    -0.0114     0.9178           
 1081   21.600   3571.88    29.2729    28.7960    29.2181     0.2747    -0.1320    -0.0120     0.9309           
 1082   21.620   3573.02    27.6446    27.1669    27.5893     0.2636    -0.1308    -0.0128     0.9414           
 1083   21.640   3574.15    26.1976    25.7205    26.1433     0.2526    -0.1285    -0.0134     0.9486           
 1084   21.660   3575.26    24.6186    24.1423    24.5655     0.2621    -0.1256    -0.0142     1.0393           
 1085   21.680   3576.27    22.6966    22.2199    22.6435     0.3018    -0.1269    -0.0155     1.2940           
 1086   21.700   3577.32    19.6483    19.1709    19.5948     0.3524    -0.1265    -0.0180     1.7318           
 1087   21.720   3578.32    16.1299    15.6509    16.0752     0.3605    -0.1303    -0.0222     2.1644           
 1088   21.740   3579.43    12.8224    12.3445    12.7693     0.3462    -0.1209    -0.0279     2.6106           
 1089   21.760   3580.43    10.9821    10.5143    10.9394     0.3158    -0.0838    -0.0304     2.8080           
 1090   21.780   3581.54     9.4665     9.0252     9.4507     0.2914    -0.0026    -0.0283     2.9987           
 1091   21.800   3582.65     8.0358     7.6336     8.0595     0.2475     0.0848    -0.0211     2.9306           
 1092   21.820   3583.76     6.6454     6.2878     6.7141     0.2083     0.2027    -0.0086     2.9720           
 1093   21.840   3584.82     6.0266     5.7144     6.1410     0.1819     0.3384     0.0095     2.9590           
 1094   21.860   3585.88     5.7228     5.4767     5.9037     0.1440     0.4926     0.0387     2.4882           
 1095   21.880   3586.88     5.6546     5.4666     5.8940     0.1167     0.6048     0.0642     2.0650           
 1096   21.900   3587.97     5.5817     5.4273     5.8551     0.1025     0.6880     0.0796     1.8250           
 1097   21.920   3588.99     5.1278     5.0365     5.4647     0.1027     0.8844     0.1159     1.9695           
 1098   21.940   3590.10     4.6331     4.6699     5.0984     0.1050     1.1968     0.1905     2.2238           
 1099   21.960   3591.15     4.4430     4.5613     4.9902     0.1043     1.3385     0.2375     2.3408           
 1100   21.980   3592.27     4.4995     4.6314     5.0607     0.1008     1.3403     0.2411     2.2640           
 1101   22.000   3593.38     4.5981     4.7398     5.1694     0.1047     1.3832     0.2406     2.2831           
 1102   22.020   3594.43     4.7190     4.8908     5.3208     0.1116     1.4514     0.2480     2.3969           
 1103   22.040   3595.43     5.0528     5.2138     5.6442     0.1149     1.2804     0.2279     2.3080           
 1104   22.060   3596.43     5.2454     5.3080     5.7388     0.1194     1.1365     0.1798     2.2835           
 1105   22.080   3597.49     5.3020     5.3201     5.7513     0.1219     1.0596     0.1596     2.2941           
 1106   22.100   3598.54     5.1203     5.1454     5.5769     0.1281     1.1112     0.1683     2.4888           
 1107   22.120   3599.65     4.8874     4.9737     5.4056     0.1365     1.2722     0.2037     2.7540           
 1108   22.140   3600.76     4.7600     4.8840     5.3163     0.1460     1.3649     0.2259     3.0846           
 1109   22.160   3601.88     4.7562     4.9135     5.3461     0.1507     1.4138     0.2408     3.1586           
 1110   22.180   3602.93     4.8111     4.9842     5.4173     0.1457     1.4693     0.2450     3.0326           
 1111   22.200   3603.92     4.9291     5.1088     5.5422     0.1184     1.4806     0.2423     2.4054           
 1112   22.220   3604.97     4.7713     4.9663     5.4002     0.1041     1.5554     0.2567     2.1893           
 1113   22.240   3606.04     5.2923     5.5766     6.0108     0.1081     1.8267     0.2670     2.1492           
 1114   22.260   3607.15     8.0064     8.3993     8.8339     0.1379     1.9842     0.2119     1.8786           
 1115   22.280   3608.22    13.7031    14.1074    14.5424     0.1716     1.8020     0.1271     1.3668           
 1116   22.300   3609.38    18.7716    18.8256    19.2610     0.2054     0.6751     0.0500     1.1470           
 1117   22.320   3610.49    19.4336    19.1070    19.5427     0.2457     0.2136     0.0019     1.2572           
 1118   22.340   3611.60    18.0378    17.6895    18.1257     0.2861     0.2240    -0.0008     1.5433           
 1119   22.360   3612.60    17.4124    17.1003    17.5368     0.3394     0.3591     0.0042     1.9454           
 1120   22.380   3613.63    17.0543    16.7890    17.2259     0.3814     0.3860     0.0110     2.2163           
 1121   22.400   3614.71    14.9702    14.6520    15.0893     0.3796     0.1891     0.0039     2.4415           
 1122   22.420   3615.72    12.7336    12.3113    12.7490     0.3697     0.0174    -0.0154     2.8161           
 1123   22.440   3616.76    10.7042    10.2794    10.7174     0.3399     0.0649    -0.0188     3.0528           
 1124   22.460   3617.88     8.8383     8.4638     8.9022     0.2903     0.2202    -0.0086     3.1290           
 1125   22.480   3619.00     7.2546     6.9921     7.4308     0.2891     0.4789     0.0281     3.6976           
 1126   22.500   3620.07     6.4671     6.2664     6.7055     0.2720     0.6120     0.0547     4.1363           
 1127   22.520   3621.12     6.6740     6.5200     6.9595     0.2266     0.7026     0.0697     3.4698           
 1128   22.540   3622.15     7.0388     6.8937     7.3336     0.1968     0.6421     0.0691     2.8111           
 1129   22.560   3623.17     6.7958     6.5466     6.9869     0.1767     0.4214     0.0348     2.5616           
 1130   22.580   3624.19     5.8491     5.6091     6.0497     0.1744     0.5391     0.0452     2.9263           
 1131   22.600   3625.26     5.0112     4.9090     5.3501     0.1664     0.9351     0.1188     3.2470           
 1132   22.620   3626.38     4.7783     4.7835     5.2249     0.1539     1.1104     0.1750     3.2240           
 1133   22.640   3627.50     5.3011     5.3911     5.8329     0.1350     1.3580     0.1929     2.6554           
 1134   22.660   3628.60     7.2799     7.4240     7.8662     0.1292     1.3256     0.1591     1.9658           
 1135   22.680   3629.65    10.6611    10.6825    11.1251     0.1311     0.8902     0.0834     1.3315           
 1136   22.700   3630.67    14.2429    13.9582    14.4012     0.1283     0.1682     0.0115     0.9383           
 1137   22.720   3631.76    17.7565    17.3076    17.7509     0.1252    -0.0306    -0.0139     0.7224           
 1138   22.740   3632.82    21.0589    20.5970    21.0407     0.1157    -0.0543    -0.0132     0.5603           
 1139   22.760   3633.93    23.3226    22.8580    23.3021     0.1054    -0.0392    -0.0121     0.4565           
 1140   22.780   3635.02    23.7443    23.2897    23.7342     0.1411    -0.0150    -0.0108     0.5938           
 1141   22.800   3636.13    23.0213    22.5621    23.0070     0.2253    -0.0413    -0.0116     0.9653           
 1142   22.820   3637.21    20.9651    20.4933    20.9385     0.2925    -0.0791    -0.0142     1.3537           
 1143   22.840   3638.27    18.2615    17.7759    18.2215     0.3024    -0.0979    -0.0182     1.5978           
 1144   22.860   3639.38    15.4076    14.9161    15.3621     0.3169    -0.1043    -0.0226     1.9714           
 1145   22.880   3640.38    13.7093    13.2263    13.6727     0.3265    -0.0450    -0.0239     2.3511           
 1146   22.900   3641.43    12.6345    12.2355    12.6822     0.3249     0.1989    -0.0094     2.5627           
 1147   22.920   3642.49    12.7871    12.4682    12.9153     0.3105     0.4410     0.0060     2.4549           
 1148   22.940   3643.60    14.6081    14.3329    14.7804     0.2988     0.3299     0.0127     2.0970           
 1149   22.960   3644.65    16.5416    16.1466    16.5945     0.2702     0.0329    -0.0063     1.6738           
 1150   22.980   3645.81    18.0119    17.5405    17.9888     0.2485    -0.0630    -0.0162     1.4012           
 1151   23.000   3646.93    18.7952    18.3184    18.7671     0.2406    -0.0697    -0.0162     1.2947           
 1152   23.020   3647.97    19.9331    19.4478    19.8969     0.2431    -0.0907    -0.0163     1.2350           
 1153   23.040   3648.99    21.2040    20.7134    21.1629     0.2492    -0.1017    -0.0159     1.1841           
 1154   23.060   3650.06    22.5922    22.0900    22.5398     0.2421    -0.1311    -0.0161     1.0822           
 1155   23.080   3651.10    23.8676    23.3575    23.8076     0.2238    -0.1484    -0.0160     0.9411           
 1156   23.100   3652.21    25.1086    24.5914    25.0420     0.2008    -0.1651    -0.0158     0.8049           
 1157   23.120   3653.32    26.5625    26.0392    26.4901     0.1745    -0.1740    -0.0155     0.6647           
 1158   23.140   3654.43    28.1414    27.6151    28.0664     0.1617    -0.1803    -0.0148     0.5806           
 1159   23.160   3655.54    29.5023    28.9756    29.4273     0.1533    -0.1788    -0.0142     0.5245           
 1160   23.180   3656.63    30.0841    29.5547    30.0067     0.1545    -0.1875    -0.0141     0.5130           
 1161   23.200   3657.67    29.3824    28.8494    29.3019     0.1674    -0.1933    -0.0147     0.5668           
 1162   23.220   3658.71    27.9052    27.3691    27.8219     0.1833    -0.2014    -0.0157     0.6523           
 1163   23.240   3659.81    25.5975    25.0574    25.5106     0.2262    -0.2079    -0.0175     0.8743           
 1164   23.260   3660.88    23.1059    22.5650    23.0186     0.2708    -0.2084    -0.0195     1.1508           
 1165   23.280   3661.97    19.7783    19.2368    19.6907     0.2967    -0.2075    -0.0230     1.4520           
 1166   23.300   3663.06    16.4186    15.8768    16.3312     0.3037    -0.2074    -0.0278     1.7665           
 1167   23.320   3664.17    13.4248    12.8849    13.3396     0.2872    -0.1993    -0.0339     2.0290           
 1168   23.340   3665.26    11.3558    10.8234    11.2785     0.2612    -0.1755    -0.0386     2.1913           
 1169   23.360   3666.27     9.5812     9.0590     9.5145     0.2354    -0.1472    -0.0434     2.3544           
 1170   23.380   3667.32     7.4084     6.9011     7.3570     0.2242    -0.1051    -0.0517     2.8867           
 1171   23.400   3668.38     5.8148     5.3296     5.7858     0.1821    -0.0364    -0.0568     3.0283           
 1172   23.420   3669.43     5.0684     4.6226     5.0792     0.1450     0.0627    -0.0451     2.8049           
 1173   23.440   3670.49     4.8917     4.4997     4.9567     0.1161     0.2003    -0.0177     2.3728           
 1174   23.460   3671.56     5.0528     4.7377     5.1951     0.1077     0.4249     0.0219     2.1451           
 1175   23.480   3672.71     5.3057     5.0815     5.5393     0.1023     0.6014     0.0632     1.9646           
 1176   23.500   3673.82     5.1432     4.9585     5.4166     0.0962     0.6918     0.0839     1.8282           
 1177   23.520   3674.82     4.8336     4.7107     5.1692     0.0936     0.8358     0.1198     1.9026           
 1178   23.540   3675.93     4.6348     4.5939     5.0528     0.0992     1.0699     0.1655     2.1198           
 1179   23.560   3676.97     4.4158     4.4335     4.8928     0.1016     1.1942     0.2030     2.2966           
 1180   23.580   3677.93     4.4349     4.5198     4.9795     0.1057     1.3185     0.2347     2.3865           
 1181   23.600   3678.99     4.6137     4.7218     5.1819     0.1116     1.3455     0.2366     2.4409           
 1182   23.620   3680.10     4.8384     4.9486     5.4090     0.1081     1.3540     0.2268     2.2468           
 1183   23.640   3681.26     5.0662     5.1629     5.6237     0.1125     1.3304     0.2114     2.2661           
 1184   23.660   3682.38     5.3687     5.4724     5.9335     0.1092     1.3710     0.2025     2.0771           
 1185   23.680   3683.43     5.4737     5.5852     6.0467     0.1115     1.3706     0.2019     2.0505           
 1186   23.700   3684.42     5.5082     5.6331     6.0950     0.1086     1.3990     0.2060     1.9621           
 1187   23.720   3685.47     5.3295     5.3850     5.8474     0.1063     1.1237     0.1848     1.9792           
 1188   23.740   3686.43     4.8830     4.9145     5.3772     0.1124     1.1397     0.1912     2.2676           
 1189   23.760   3687.54     4.3567     4.4282     4.8913     0.1129     1.3712     0.2338     2.5784           
 1190   23.780   3688.60     4.2929     4.4749     4.9384     0.1164     1.6206     0.2903     2.7012           
 1191   23.800   3689.71     4.2660     4.4838     4.9476     0.1116     1.6092     0.3089     2.6210           
 1192   23.820   3690.82     4.2817     4.4965     4.9607     0.1007     1.6289     0.3066     2.3434           
 1193   23.840   3691.93     4.1482     4.3934     4.8580     0.0982     1.7487     0.3304     2.3392           
 1194   23.860   3692.93     4.0575     4.3350     4.8000     0.1045     1.7500     0.3528     2.5689           
 1195   23.880   3693.97     4.1340     4.4104     4.8758     0.1054     1.7923     0.3463     2.5552           
 1196   23.900   3695.04     4.2214     4.5131     4.9788     0.1023     1.8208     0.3466     2.4379           
 1197   23.920   3696.07     4.3560     4.6404     5.1065     0.0980     1.7298     0.3336     2.2605           
 1198   23.940   3697.15     4.3264     4.5317     4.9982     0.0942     1.6234     0.3002     2.1426           
 1199   23.960   3698.19     4.0530     4.3362     4.8031     0.0808     1.8606     0.3567     1.9712           
 1200   23.980   3699.38     4.1360     4.5046     4.9719     0.0831     2.0661     0.3886     2.0473           
 1201   24.000   3700.43     5.0172     5.4356     5.9033     0.0914     2.0687     0.3451     1.9837           
 1202   24.020   3701.52     7.7851     8.1099     8.5780     0.0860     1.7273     0.2055     1.2752           
 1203   24.040   3702.52    11.2211    11.3330    11.8014     0.0874     1.1776     0.1018     0.8353           
 1204   24.060   3703.54    14.7325    14.5307    14.9995     0.1055     0.4340     0.0276     0.7340           
 1205   24.080   3704.60    16.9881    16.6165    17.0856     0.1345     0.1820    -0.0005     0.8018           
 1206   24.100   3705.71    17.6462    17.2453    17.7148     0.1848     0.1529    -0.0045     1.0493           
 1207   24.120   3706.76    17.2350    16.8165    17.2864     0.2394     0.0952    -0.0071     1.3764           
 1208   24.140   3707.92    15.2129    14.7517    15.2220     0.2940     0.0078    -0.0149     1.8625           
 1209   24.160   3709.02    12.7958    12.3180    12.7887     0.3072    -0.0293    -0.0210     2.2731           
 1210   24.180   3710.06    10.6928    10.2160    10.6871     0.2860     0.0122    -0.0250     2.5637           
 1211   24.200   3711.07     8.7823     8.3612     8.8326     0.2691     0.1990    -0.0143     2.9699           
 1212   24.220   3712.13     7.0656     6.6963     7.1681     0.2368     0.2663     0.0004     3.2874           
 1213   24.240   3713.21     5.6978     5.3782     5.8504     0.2212     0.4497     0.0229     3.7824           
 1214   24.260   3714.27     5.2183     5.0121     5.4847     0.1957     0.7142     0.0782     3.7301           
 1215   24.280   3715.38     5.3161     5.1821     5.6551     0.1564     0.9020     0.1089     2.9662           
 1216   24.300   3716.44     5.2403     5.1110     5.5843     0.1357     0.8825     0.1127     2.5738           
 1217   24.320   3717.60     4.9078     4.7923     5.2661     0.1289     0.8372     0.1272     2.5433           
 1218   24.340   3718.65     4.5558     4.4523     4.9264     0.1174     0.9768     0.1437     2.5157           
 1219   24.360   3719.71     4.1825     4.2001     4.6746     0.1075     1.2348     0.2211     2.5144           
 1220   24.380   3720.71     3.9601     4.0415     4.5164     0.1100     1.3845     0.2674     2.7584           
 1221   24.400   3721.77     4.0133     4.1536     4.6289     0.1213     1.4862     0.2941     3.0410           
 1222   24.420   3722.82     4.3229     4.4837     4.9593     0.1169     1.4952     0.2835     2.7423           
 1223   24.440   3723.88     4.6813     4.7823     5.2583     0.1115     1.3583     0.2361     2.4335           
 1224   24.460   3724.93     4.8422     4.9032     5.3796     0.1169     1.2578     0.2111     2.4151           
 1225   24.480   3726.10     4.5670     4.6505     5.1273     0.1210     1.3822     0.2343     2.5920           
 1226   24.500   3727.21     4.3600     4.5064     4.9835     0.1072     1.5447     0.2750     2.4535           
 1227   24.520   3728.24     4.3596     4.5431     5.0207     0.1163     1.5724     0.2925     2.6702           
 1228   24.540   3729.22     4.4770     4.6805     5.1584     0.1318     1.6677     0.2941     2.9756           
 1229   24.560   3730.24     4.8834     5.1188     5.5971     0.1310     1.6625     0.2841     2.7193           
 1230   24.580   3731.32     5.4681     5.6602     6.1389     0.1509     1.5541     0.2388     2.8032           
 1231   24.600   3732.38     6.1256     6.2100     6.6891     0.1393     1.3189     0.1764     2.3294           
 1232   24.620   3733.49     6.7452     6.7705     7.2500     0.1655     1.2304     0.1412     2.4908           
 1233   24.640   3734.60     7.7977     7.8538     8.3336     0.1783     1.2923     0.1311     2.3711           
 1234   24.660   3735.71     8.8371     8.8562     9.3364     0.1737     1.1398     0.1065     2.0079           
 1235   24.680   3736.75    10.6098    10.5165    10.9970     0.1594     0.7672     0.0647     1.5767           
 1236   24.700   3737.82    12.2905    12.0162    12.4972     0.1934     0.3862     0.0205     1.5977           
 1237   24.720   3738.82    13.7682    13.3780    13.8594     0.2279     0.1086    -0.0022     1.6788           
 1238   24.740   3739.97    13.1467    12.6521    13.1338     0.2384    -0.0375    -0.0220     1.7700           
 1239   24.760   3741.04    10.5441    10.0493    10.5314     0.2246    -0.0325    -0.0277     1.9990           
 1240   24.780   3742.12     8.3129     7.8238     8.3063     0.2129     0.0180    -0.0337     2.4291           
 1241   24.800   3743.21     6.6742     6.2504     6.7332     0.2050     0.1938    -0.0169     2.8540           
 1242   24.820   3744.27     5.3496     4.9892     5.4725     0.1907     0.3853     0.0092     3.3476           
 1243   24.840   3745.38     4.7758     4.5133     4.9969     0.1565     0.5860     0.0616     3.2057           
 1244   24.860   3746.38     4.6332     4.4613     4.9453     0.1181     0.7782     0.1108     2.5261           
 1245   24.880   3747.38     4.5098     4.3999     4.8843     0.1030     0.9632     0.1461     2.2775           
 1246   24.900   3748.47     4.3244     4.2767     4.7614     0.1033     1.0986     0.1851     2.3784           
 1247   24.920   3749.52     4.2563     4.2629     4.7480     0.1055     1.1715     0.2162     2.4800           
 1248   24.940   3750.60     4.2018     4.2245     4.7100     0.1053     1.2044     0.2274     2.4930           
 1249   24.960   3751.67     4.1585     4.1967     4.6826     0.1069     1.2842     0.2379     2.5582           
 1250   24.980   3752.81     4.1961     4.2612     4.7474     0.1115     1.3197     0.2495     2.6673           
 1251   25.000   3753.93     4.2721     4.3402     4.8268     0.1135     1.3324     0.2467     2.6809           
 1252   25.020   3754.97     4.2204     4.3224     4.8094     0.1152     1.4347     0.2666     2.6946           
 1253   25.040   3755.92     4.1744     4.3077     4.7951     0.1208     1.5111     0.2849     2.8883           
 1254   25.060   3756.92     4.1240     4.2836     4.7714     0.1229     1.6018     0.3013     2.9788           
 1255   25.080   3758.02     4.2233     4.4295     4.9177     0.1181     1.6878     0.3166     2.8215           
 1256   25.100   3759.07     4.4894     4.7505     5.2390     0.1194     1.8163     0.3229     2.7079           
 1257   25.120   3760.12     4.9230     5.1996     5.6885     0.1340     1.8256     0.3024     2.7844           
 1258   25.140   3761.26     6.0750     6.3025     6.7918     0.1653     1.6924     0.2320     3.0037           
 1259   25.160   3762.38     7.7064     7.8003     8.2900     0.1926     1.1728     0.1459     2.6186           
 1260   25.180   3763.43     8.3283     8.1285     8.6186     0.2274     0.3720     0.0541     2.7788           
 1261   25.200   3764.42     8.3905     8.0292     8.5196     0.2407     0.2822     0.0069     2.8540           
 1262   25.220   3765.49     7.8592     7.4854     7.9762     0.2338     0.3230     0.0036     2.9409           
 1263   25.240   3766.52     7.1952     6.8657     7.3569     0.2436     0.4467     0.0194     3.3347           
 1264   25.260   3767.60     6.3157     6.0498     6.5414     0.2236     0.5895     0.0472     3.4774           
 1265   25.280   3768.71     5.9458     5.7538     6.2458     0.1938     0.7905     0.0802     3.2417           
 1266   25.300   3769.81     5.7346     5.6023     6.0947     0.1722     0.9130     0.1079     2.9761           
 1267   25.320   3770.93     5.0702     4.9764     5.4691     0.1441     0.9793     0.1400     2.7359           
 1268   25.340   3771.97     4.5934     4.5771     5.0702     0.1317     1.1523     0.1929     2.7869           
 1269   25.360   3773.02     4.3575     4.3716     4.8651     0.1476     1.2482     0.2185     3.3814           
 1270   25.380   3774.07     4.5240     4.5699     5.0637     0.1352     1.2736     0.2258     3.0259           
 1271   25.400   3775.15     4.8982     4.9319     5.4262     0.1330     1.2323     0.2035     2.7362           
 1272   25.420   3776.17     5.1474     5.1264     5.6210     0.1374     1.0569     0.1705     2.6935           
 1273   25.440   3777.26     5.2289     5.1560     5.6510     0.1327     1.0246     0.1456     2.5483           
 1274   25.460   3778.32     5.1581     5.1408     5.6361     0.1441     1.1926     0.1719     2.7794           
 1275   25.480   3779.49     5.2880     5.2993     5.7951     0.1469     1.1815     0.1798     2.8383           
 1276   25.500   3780.56     5.7539     5.7487     6.2448     0.1772     1.1628     0.1591     3.1710           
 1277   25.520   3781.62     6.2683     6.2506     6.7471     0.2160     1.1204     0.1416     3.5252           
 1278   25.540   3782.57     6.6975     6.6404     7.1373     0.2062     0.9793     0.1195     3.1295           
 1279   25.560   3783.63     7.1471     7.0209     7.5182     0.2089     0.8719     0.0895     2.9173           
 1280   25.580   3784.65     6.7304     6.5912     7.0888     0.1915     0.8997     0.0908     2.8176           
 1281   25.600   3785.76     5.9855     5.9103     6.4083     0.1653     1.2159     0.1271     2.7322           
 1282   25.620   3786.88     5.5485     5.7440     6.2424     0.1743     1.7348     0.2430     3.0783           
 1283   25.640   3787.94     6.7038     6.9784     7.4772     0.1891     1.8767     0.2275     3.0021           
 1284   25.660   3789.07     9.3320     9.5650    10.0642     0.2017     1.6447     0.1565     2.3476           
 1285   25.680   3790.15    12.2023    12.1325    12.6321     0.2482     0.5939     0.0643     2.1634           
 1286   25.700   3791.15    13.8700    13.4075    13.9074     0.3052     0.0453    -0.0125     2.2285           
 1287   25.720   3792.17    14.2797    13.7705    14.2709     0.3523    -0.0278    -0.0202     2.4677           
 1288   25.740   3793.26    14.0932    13.5915    14.0922     0.3554     0.0139    -0.0191     2.5162           
 1289   25.760   3794.32    14.0648    13.5779    14.0790     0.3577     0.0368    -0.0165     2.5462           
 1290   25.780   3795.43    14.3031    13.8241    14.3256     0.3865     0.0477    -0.0148     2.7092           
 1291   25.800   3796.54    14.4233    13.9243    14.4261     0.4105    -0.0317    -0.0181     2.8248           
 1292   25.820   3797.65    12.8179    12.2775    12.7797     0.3660    -0.1108    -0.0285     2.7341           
 1293   25.840   3798.75    10.6799    10.1328    10.6354     0.3196    -0.0921    -0.0360     2.8243           
 1294   25.860   3799.82     8.9721     8.4619     8.9649     0.2784     0.0220    -0.0325     2.9639           
 1295   25.880   3800.82     7.6506     7.1868     7.6902     0.2546     0.1461    -0.0228     3.2619           
 1296   25.900   3801.92     6.2607     5.8642     6.3679     0.2285     0.3716    -0.0005     3.5547           
 1297   25.920   3802.93     5.7483     5.4714     5.9755     0.1993     0.6010     0.0515     3.4416           
 1298   25.940   3804.02     5.5886     5.3948     5.8993     0.1718     0.8210     0.0891     3.0498           
 1299   25.960   3805.06     5.4860     5.3802     5.8851     0.1570     1.0145     0.1284     2.8459           
 1300   25.980   3806.22     5.4700     5.3949     5.9002     0.1415     1.0179     0.1417     2.6117           
 1301   26.000   3807.38     5.4595     5.3823     5.8880     0.1258     1.0199     0.1412     2.2671           
 1302   26.020   3808.42     5.4407     5.3873     5.8934     0.1248     1.1403     0.1518     2.2971           
 1303   26.040   3809.42     5.4296     5.4503     5.9568     0.1355     1.3119     0.1825     2.4877           
